# Program:featureCounts v1.6.2; Command:"/home/lzc/soft/subread-1.6.2-source/bin/featureCounts" "-t" "exon" "-g" "gene_id" "-s" "1" "-a" "./genome/GCF_000191905.1_ASM19190v1_genomic.gtf" "-o" "/home/lzc/project/117_ZK005/results/3.Expression/genes_count.txt" "/home/lzc/project/117_ZK005/mapping/bam/824_24h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_24h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_24h_3.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_6h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_6h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_6h_3.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_3.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/lzc/project/117_ZK005/mapping/bam/824_24h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_24h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_24h_3.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_6h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_6h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_6h_3.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_3.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_3.sorted.bam
gene31	NC_017295.1	35984	36060	+	77	0	0	0	10	8	17	3	2	2	14	10	11
gene32	NC_017295.1	36200	36721	+	522	14	27	14	165	70	188	94	104	98	230	99	93
gene33	NC_017295.1	36743	37357	+	615	6	9	8	63	14	21	13	5	5	14	9	15
gene34	NC_017295.1	37376	38050	+	675	49	79	47	140	46	108	67	69	50	70	26	33
gene35	NC_017295.1	38101	39849	-	1749	297	380	300	7146	7494	22802	3512	4360	3929	13752	5197	6385
gene36	NC_017295.1	40092	40793	+	702	36	50	28	291	279	670	329	240	322	330	236	188
gene37	NC_017295.1	40771	41832	+	1062	37	50	24	143	121	264	143	111	144	110	56	89
gene38	NC_017295.1	41890	42774	-	885	176	175	127	659	534	1210	909	810	1024	875	559	445
gene39	NC_017295.1	42932	43501	+	570	47	73	50	135	93	334	235	180	253	142	118	86
gene40	NC_017295.1	43538	45136	-	1599	466	590	346	1968	1598	3649	2377	1890	3321	2450	1892	1368
gene41	NC_017295.1	45291	45596	-	306	532	325	257	378	394	885	1408	1022	1895	875	757	401
gene42	NC_017295.1	45857	45933	+	77	0	0	0	3	0	3	0	0	1	0	0	0
gene43	NC_017295.1	46266	47078	+	813	7	3	2	89	18	32	3	3	2	1	3	3
gene44	NC_017295.1	47106	48512	+	1407	12	25	21	251	64	54	18	13	17	30	26	21
gene45	NC_017295.1	48546	49631	+	1086	3	7	3	79	13	32	3	8	4	7	1	13
gene46	NC_017295.1	49650	49895	+	246	0	0	0	59	12	16	2	0	0	5	0	3
gene47	NC_017295.1	49939	54573	+	4635	45	50	33	916	205	376	127	120	109	152	101	112
gene48	NC_017295.1	54723	55016	+	294	6	2	3	59	19	18	3	0	4	3	5	2
gene49	NC_017295.1	55224	55634	+	411	3	3	0	108	36	86	0	0	0	6	13	14
gene50	NC_017295.1	55665	56909	+	1245	31	17	17	313	69	94	3	1	3	9	13	14
gene51	NC_017295.1	56937	57458	+	522	15	23	5	39	6	11	4	0	0	1	2	0
gene52	NC_017295.1	57468	57743	+	276	8	10	8	29	7	13	3	5	7	9	1	9
gene53	NC_017295.1	57977	59311	+	1335	80	57	46	363	65	101	14	6	10	15	13	16
gene54	NC_017295.1	59337	59663	+	327	37	52	40	91	30	26	4	4	4	6	8	6
gene55	NC_017295.1	59688	59999	+	312	0	1	0	42	9	16	0	2	0	2	2	3
gene56	NC_017295.1	60030	60566	+	537	0	1	2	119	16	40	0	2	2	2	2	3
gene57	NC_017295.1	60592	61167	+	576	0	0	2	55	17	15	0	1	1	0	2	0
gene58	NC_017295.1	61342	61665	+	324	0	0	1	15	5	2	1	0	3	1	0	0
gene59	NC_017295.1	61662	61862	+	201	0	1	0	20	11	16	17	4	11	9	10	10
gene60	NC_017295.1	62070	62531	+	462	38	48	30	604	497	956	345	339	539	743	382	430
gene61	NC_017295.1	62623	63048	-	426	23	47	17	728	638	1292	395	422	546	942	534	539
gene62	NC_017295.1	63316	63591	+	276	0	1	0	27	19	70	7	11	7	32	20	14
gene63	NC_017295.1	63793	64383	+	591	7	6	1	56	17	34	15	14	18	19	15	12
gene64	NC_017295.1	64672	65124	+	453	1	0	0	366	34	60	1	1	3	18	18	19
gene65	NC_017295.1	65121	66002	+	882	6	12	8	10499	1760	4210	202	294	251	3569	2567	2078
gene66	NC_017295.1	66024	66356	+	333	0	0	2	375	73	145	15	23	15	78	79	45
gene67	NC_017295.1	66377	66649	+	273	1	1	0	205	31	85	1	0	1	7	16	13
gene68	NC_017295.1	66803	67411	+	609	9	10	4	2347	296	494	55	51	45	386	231	231
gene69	NC_017295.1	67475	69958	+	2484	18	27	14	5776	905	1673	171	235	219	1422	1027	764
gene70	NC_017295.1	69961	70656	+	696	1	1	0	766	121	202	4	4	9	103	62	65
gene71	NC_017295.1	70657	75594	+	4938	37	24	19	5405	919	1456	139	171	150	1148	838	646
gene72	NC_017295.1	75609	75875	+	267	0	0	1	79	9	16	0	0	0	5	4	5
gene73	NC_017295.1	76018	76398	+	381	0	0	0	148	29	48	1	1	0	7	2	10
gene74	NC_017295.1	76521	77294	+	774	20	14	10	236	92	203	62	57	68	155	85	66
gene75	NC_017295.1	77298	77996	+	699	2	9	1	117	33	55	39	26	59	52	24	23
gene76	NC_017295.1	78012	79211	+	1200	1	6	2	255	68	91	32	42	62	104	43	51
gene77	NC_017295.1	79405	79794	+	390	11	10	9	54	28	63	26	27	35	38	15	23
gene78	NC_017295.1	79854	80822	-	969	909	956	817	395	201	652	995	686	991	482	339	227
gene79	NC_017295.1	81020	81739	+	720	10	4	3	222	60	111	6	4	4	18	16	18
gene80	NC_017295.1	81787	82020	-	234	6	0	1	95	25	58	6	10	4	17	20	13
gene81	NC_017295.1	82288	83100	+	813	19	13	14	167	73	152	51	47	27	97	55	59
gene82	NC_017295.1	83447	84448	+	1002	24	22	19	471	210	496	284	336	278	399	265	196
gene83	NC_017295.1	84396	84743	-	348	17	18	20	361	195	512	308	369	249	389	295	177
gene84	NC_017295.1	84877	85788	+	912	21	30	23	349	169	426	303	290	286	292	162	191
gene85	NC_017295.1	85766	86497	-	732	24	30	26	690	391	697	377	406	449	643	248	344
gene86	NC_017295.1	86728	87357	+	630	13	88	32	2833	4494	14949	6374	5921	5239	10943	7466	4622
gene87	NC_017295.1	87326	87490	+	165	1	2	0	2	4	10	9	5	2	4	0	1
gene88	NC_017295.1	87617	88961	+	1345	72	119	61	336	259	544	267	189	272	315	198	211
gene89	NC_017295.1	88954	89679	+	726	2	7	1	88	17	21	8	6	7	4	0	13
gene90	NC_017295.1	89768	91828	+	2061	13	39	16	1176	1231	2578	1603	1453	986	1647	824	886
gene91	NC_017295.1	92170	92769	+	600	6	11	8	163	165	355	196	205	188	223	106	122
gene92	NC_017295.1	93049	93525	+	477	4	5	3	60	14	43	11	8	8	13	9	7
gene93	NC_017295.1	93589	93768	+	180	20	35	27	227	192	520	175	149	327	471	214	191
gene94	NC_017295.1	93774	94853	-	1080	145	207	133	459	498	1352	405	330	757	1037	566	406
gene95	NC_017295.1	94955	95833	+	879	19	29	21	122	84	210	83	74	71	104	72	50
gene96	NC_017295.1	95919	96407	+	489	25	33	21	67	44	111	55	42	48	66	41	45
gene97	NC_017295.1	96441	97397	+	957	676	838	605	1144	1198	2657	947	725	1010	2091	1256	926
gene98	NC_017295.1	97840	98721	+	882	104	125	96	673	271	455	569	414	560	562	299	254
gene99	NC_017295.1	99394	100407	+	1014	25	38	33	448	410	1051	202	165	138	282	173	273
gene100	NC_017295.1	100676	101134	+	459	26	37	25	132	80	163	315	224	359	158	102	90
gene101	NC_017295.1	101129	102001	-	873	28	37	18	305	109	198	429	321	540	301	139	135
gene102	NC_017295.1	102144	103694	+	1551	54	56	33	589	363	949	100	92	106	434	216	237
gene103	NC_017295.1	103871	105061	+	1191	68	73	69	217	63	137	10	11	8	32	17	30
gene104	NC_017295.1	105025	105672	+	648	17	18	15	44	9	16	4	3	1	4	1	5
gene105	NC_017295.1	105681	106556	+	876	25	33	24	99	30	86	3	5	1	11	7	23
gene106	NC_017295.1	106556	108028	+	1473	168	159	145	219	84	176	55	33	36	128	73	66
gene107	NC_017295.1	108018	109286	+	1269	717	850	655	375	377	1203	314	230	325	1013	449	427
gene108	NC_017295.1	109304	110266	+	963	1194	1005	788	1296	1776	4678	627	462	581	3698	1521	2015
gene109	NC_017295.1	110751	112145	+	1395	2	6	1	115	27	33	4	2	9	10	6	9
gene110	NC_017295.1	112505	113734	+	1230	340	365	166	158	50	162	70	47	70	117	24	90
gene111	NC_017295.1	113744	114346	+	603	179	149	78	144	24	102	25	12	15	115	14	66
gene112	NC_017295.1	114357	116036	+	1680	79	112	71	110	41	132	7	0	8	15	8	21
gene113	NC_017295.1	116026	116340	+	315	4	5	0	5	0	2	0	0	1	1	0	3
gene114	NC_017295.1	116282	117388	+	1107	204	207	115	154	42	101	24	9	36	42	13	54
gene115	NC_017295.1	117425	118264	+	840	1078	1343	708	172	68	345	124	48	188	603	115	282
gene116	NC_017295.1	118176	118973	+	798	493	561	280	145	41	321	77	44	139	476	96	261
gene117	NC_017295.1	118986	119786	+	801	296	319	186	106	34	116	14	5	22	79	26	58
gene118	NC_017295.1	119800	121368	+	1569	189	184	107	279	80	201	29	11	27	111	25	104
gene119	NC_017295.1	121796	123229	+	1434	185	197	169	1030	756	2518	1034	1270	824	1451	524	726
gene120	NC_017295.1	123226	123963	+	738	46	47	29	163	66	223	142	162	75	124	50	60
gene121	NC_017295.1	124090	124851	+	762	23	26	20	149	40	74	56	35	38	30	13	21
gene122	NC_017295.1	124881	125408	+	528	44	47	54	97	64	188	148	138	125	110	64	39
gene123	NC_017295.1	125488	125901	+	414	218	277	270	489	902	3287	2053	1922	2512	2399	1275	1159
gene124	NC_017295.1	125986	127875	+	1890	643	1023	917	3053	3448	11411	7792	8179	5570	9124	5727	4292
gene125	NC_017295.1	128105	128470	+	366	1	2	1	18	4	9	5	5	3	0	2	0
gene126	NC_017295.1	128493	130442	+	1950	4	2	1	211	36	63	2	4	1	7	4	7
gene127	NC_017295.1	130496	131002	+	507	0	0	0	42	7	7	0	0	0	0	0	1
gene128	NC_017295.1	131003	132670	+	1668	21	16	6	349	104	164	12	18	26	40	38	40
gene129	NC_017295.1	132670	133482	+	813	0	2	1	72	10	12	4	1	0	2	6	4
gene130	NC_017295.1	133640	134020	+	381	1	9	3	45	29	48	9	2	9	14	11	10
gene131	NC_017295.1	134204	134647	+	444	20	16	10	116	100	300	139	114	159	111	102	72
gene132	NC_017295.1	134686	134777	+	92	0	0	1	10	5	18	4	4	6	8	4	5
gene133	NC_017295.1	134857	135321	-	465	1	0	2	19	10	48	28	23	32	24	10	18
gene134	NC_017295.1	135927	136016	+	90	168	101	98	124	64	160	76	57	80	151	99	80
gene135	NC_017295.1	136028	136293	+	266	30617	16530	15482	421238	269266	422763	124502	106069	157530	813401	306970	350864
gene136	NC_017295.1	136416	138044	+	1629	227	293	269	458	409	1160	551	350	532	609	392	279
gene137	NC_017295.1	138143	138481	+	339	98	107	129	125	127	390	191	117	164	144	89	92
gene138	NC_017295.1	138574	139170	+	597	146	160	136	149	116	307	139	79	105	97	63	75
gene139	NC_017295.1	139231	139491	+	261	10	12	4	13	8	41	24	12	19	13	23	9
gene140	NC_017295.1	139499	139771	+	273	2	5	4	41	26	68	42	39	28	63	24	32
gene141	NC_017295.1	139821	140423	-	603	15	16	19	130	95	221	174	127	121	209	116	88
gene142	NC_017295.1	141012	141410	-	399	7	13	7	101	75	96	31	24	24	94	49	55
gene143	NC_017295.1	141708	142214	-	507	26	24	25	135	72	139	40	36	52	138	62	53
gene144	NC_017295.1	142297	142548	-	252	0	3	1	39	8	12	5	1	2	5	2	4
gene145	NC_017295.1	142912	143292	-	381	3	7	3	63	13	47	9	13	12	20	16	13
gene146	NC_017295.1	143360	143614	-	255	0	2	0	6	0	4	1	2	0	0	0	3
gene147	NC_017295.1	143529	144176	-	648	2	2	1	186	34	84	5	3	1	16	13	10
gene148	NC_017295.1	144587	145525	+	939	256	258	201	312	419	932	227	122	209	858	564	305
gene149	NC_017295.1	145506	146720	+	1215	841	821	668	947	638	1510	794	666	1070	1915	1334	617
gene150	NC_017295.1	146744	147961	+	1218	1988	2036	1388	1701	3044	5963	1597	1116	1871	6058	3740	2390
gene151	NC_017295.1	147990	148829	+	840	297	328	282	176	144	348	104	47	112	303	147	112
gene152	NC_017295.1	148742	148984	-	243	73	106	83	9	10	44	10	10	13	33	22	8
gene153	NC_017295.1	148911	149081	-	171	0	1	0	4	1	2	0	0	1	14	1	4
gene154	NC_017295.1	149490	150182	+	693	4	3	0	78	26	34	1	1	1	7	4	3
gene155	NC_017295.1	150239	150763	+	525	10	10	10	43	23	72	25	23	20	54	18	17
gene156	NC_017295.1	150797	151984	-	1188	888	1003	700	6621	6458	17315	9204	7439	12805	14867	9333	6743
gene157	NC_017295.1	151965	152921	-	957	281	331	318	958	1311	4075	1766	1364	2192	3427	1983	1244
gene158	NC_017295.1	153411	154097	+	687	212	205	146	168	174	455	452	229	352	361	261	119
gene159	NC_017295.1	154249	154416	+	168	2	1	4	16	12	8	7	5	7	12	7	7
gene160	NC_017295.1	154631	154825	+	195	9	6	5	33	8	21	32	17	22	15	18	8
gene161	NC_017295.1	154869	155534	-	666	52	61	32	119	63	164	165	127	170	116	70	92
gene162	NC_017295.1	155555	156715	-	1161	76	127	97	1935	1616	3828	986	875	1276	2956	1660	1616
gene163	NC_017295.1	156964	157902	+	939	3	3	3	63	40	102	23	15	16	44	21	18
gene164	NC_017295.1	158336	159847	+	1512	6118	5729	3932	10665	2252	4290	5709	4828	4920	7006	2506	2471
gene165	NC_017295.1	160022	162931	+	2910	61124	56870	45576	86755	40378	70997	37859	32447	36267	83128	32162	33834
gene166	NC_017295.1	163005	163121	+	117	39	75	61	324	239	564	213	210	141	254	133	220
gene167	NC_017295.1	163474	164985	+	1512	5874	5730	4013	10753	2309	4131	5481	4482	4964	7174	2560	2397
gene168	NC_017295.1	165160	168069	+	2910	61561	57250	46386	87509	40696	71019	37799	32226	36506	83374	32493	33963
gene169	NC_017295.1	168143	168259	+	117	44	85	65	286	226	558	205	189	144	295	120	221
gene170	NC_017295.1	168612	170123	+	1512	5909	5777	3953	10995	2237	4339	5598	4636	5035	7043	2498	2453
gene171	NC_017295.1	170298	173207	+	2910	62322	57523	45970	87313	40518	71351	37273	32328	36164	83835	32631	34478
gene172	NC_017295.1	173281	173397	+	117	19	22	9	111	154	335	81	76	92	327	106	197
gene173	NC_017295.1	173403	173478	+	76	0	0	0	0	0	0	0	0	0	0	0	0
gene174	NC_017295.1	173546	174214	+	669	2	6	6	42	12	22	5	3	4	0	3	6
gene175	NC_017295.1	174475	175920	+	1446	24	35	22	217	92	179	42	30	85	80	60	47
gene176	NC_017295.1	175942	177996	+	2055	5	13	5	232	41	55	12	7	35	15	2	9
gene177	NC_017295.1	177989	178429	+	441	0	0	0	38	8	13	1	0	2	1	0	4
gene178	NC_017295.1	178431	179585	+	1155	3	1	3	116	17	26	3	3	7	1	2	6
gene179	NC_017295.1	180156	181982	+	1827	2991	3648	3391	4365	2590	7949	13828	12753	12399	5969	3036	2886
gene180	NC_017295.1	182357	182704	+	348	6	5	3	37	33	55	3	3	7	13	7	8
gene181	NC_017295.1	182975	183424	+	450	48	58	39	101	61	147	81	54	74	132	58	68
gene182	NC_017295.1	183683	184981	-	1299	611	736	503	438	416	857	460	292	467	817	694	393
gene183	NC_017295.1	185293	185538	-	246	56	54	50	24	10	15	33	13	26	28	27	9
gene184	NC_017295.1	185556	186029	-	474	357	439	345	334	566	1488	1158	604	964	1244	898	597
gene185	NC_017295.1	186525	187004	+	480	4	0	0	22	5	11	1	1	3	5	0	6
gene186	NC_017295.1	187390	188172	+	783	1	3	3	179	54	84	5	3	4	14	8	12
gene187	NC_017295.1	188192	189547	+	1356	88	113	68	442	222	462	102	82	174	351	157	152
gene188	NC_017295.1	189607	190074	-	468	6	3	4	64	7	35	25	10	18	29	15	6
gene189	NC_017295.1	190280	190966	+	687	3	5	0	67	31	37	8	12	10	15	10	9
gene190	NC_017295.1	191037	191858	+	822	25	42	30	238	201	503	254	203	294	535	290	202
gene191	NC_017295.1	192035	192967	+	933	6	4	1	193	40	65	2	2	4	7	9	12
gene192	NC_017295.1	192990	194252	+	1263	14	8	6	170	28	41	8	6	4	10	3	4
gene193	NC_017295.1	194272	195447	+	1176	8	9	1	140	21	38	8	4	13	8	6	11
gene194	NC_017295.1	195469	195648	+	180	0	2	0	36	7	12	5	4	5	2	2	3
gene195	NC_017295.1	195820	196980	+	1161	147	126	116	586	427	665	577	472	745	619	353	359
gene196	NC_017295.1	197015	197656	-	642	162	143	120	452	286	506	656	523	705	468	299	233
gene197	NC_017295.1	198156	199064	+	909	5	6	2	71	30	63	7	1	7	10	14	10
gene198	NC_017295.1	199118	200827	+	1710	25	26	8	352	108	166	18	15	25	53	27	30
gene199	NC_017295.1	200968	201936	+	969	34	33	17	292	226	489	110	115	137	472	207	147
gene200	NC_017295.1	201948	202853	+	906	105	93	85	1075	1112	2391	535	441	575	2553	1426	975
gene201	NC_017295.1	202865	203842	+	978	22	14	12	103	38	120	37	32	36	49	34	31
gene202	NC_017295.1	203843	204808	+	966	100	114	93	159	185	433	183	125	170	476	252	130
gene203	NC_017295.1	204995	206050	+	1056	49	52	47	144	72	174	49	38	57	116	58	48
gene204	NC_017295.1	206059	207621	+	1563	106	92	72	294	169	362	143	136	140	401	198	115
gene205	NC_017295.1	207635	208555	+	921	3	3	2	71	23	37	0	5	3	6	7	11
gene206	NC_017295.1	208556	209518	+	963	6	6	4	84	21	33	10	3	7	4	7	9
gene207	NC_017295.1	209505	210653	+	1149	446	638	325	212	181	360	660	548	805	265	197	128
gene208	NC_017295.1	210907	212211	-	1305	1383	1450	1026	735	880	1481	4437	4022	5060	1986	1643	864
gene209	NC_017295.1	212460	213185	-	726	4012	3405	2672	108	44	92	198	124	248	58	53	33
gene210	NC_017295.1	213166	214311	-	1146	10929	9741	6808	617	313	774	596	359	717	623	538	270
gene211	NC_017295.1	214325	215056	-	732	3278	3306	2180	320	130	284	232	180	335	197	183	88
gene212	NC_017295.1	215152	215934	-	783	97	99	64	97	103	170	104	47	115	111	84	56
gene213	NC_017295.1	216107	216958	+	852	4	1	4	90	28	82	4	10	8	21	12	14
gene214	NC_017295.1	216975	218051	+	1077	22	14	12	209	98	232	349	234	284	76	64	53
gene215	NC_017295.1	218136	220139	-	2004	407	382	250	3319	4207	10362	16432	14419	16595	6196	4206	3258
gene216	NC_017295.1	220136	221116	-	981	566	517	353	1895	2734	7449	10767	8126	11398	4895	3681	2300
gene217	NC_017295.1	221423	221770	-	348	7	10	11	85	64	122	103	60	103	64	66	30
gene218	NC_017295.1	221898	222953	+	1056	125	129	136	301	176	502	421	285	345	232	157	127
gene219	NC_017295.1	223133	223555	+	423	5	8	1	21	8	23	4	3	1	8	2	3
gene220	NC_017295.1	223577	224260	+	684	18	18	7	29	13	53	29	19	22	34	24	19
gene221	NC_017295.1	224283	224576	+	294	386	611	340	1305	953	1832	1778	1486	2533	4641	3485	1974
gene222	NC_017295.1	225024	225716	+	693	14	11	14	126	76	150	97	85	137	151	77	63
gene223	NC_017295.1	225945	226529	-	585	18	22	19	144	49	104	106	99	121	105	58	37
gene224	NC_017295.1	226817	227983	+	1167	36	40	50	333	187	407	263	204	260	296	129	138
gene225	NC_017295.1	228080	228532	+	453	11	14	12	108	48	111	36	34	58	45	36	32
gene226	NC_017295.1	228721	229305	-	585	124	152	123	481	524	1624	491	476	664	1051	708	507
gene227	NC_017295.1	229442	231400	-	1959	154	264	134	1070	1390	4178	1093	1043	1581	3103	1831	1277
gene228	NC_017295.1	231601	232794	+	1194	2	3	2	62	10	35	22	6	15	10	10	12
gene229	NC_017295.1	233002	233676	+	675	144	139	182	450	460	1141	153	90	110	286	261	317
gene230	NC_017295.1	233908	234549	+	642	3	5	5	170	51	98	7	9	7	9	9	27
gene231	NC_017295.1	234628	235323	+	696	10	9	5	174	45	70	39	17	29	30	23	13
gene232	NC_017295.1	235390	236376	-	987	58	59	49	339	117	316	112	76	102	164	86	74
gene233	NC_017295.1	236397	236951	-	555	0	0	2	48	22	95	41	28	51	39	30	28
gene234	NC_017295.1	237118	237927	+	810	37	36	28	121	69	131	59	47	57	93	44	47
gene235	NC_017295.1	238039	238518	-	480	42	33	16	72	36	70	106	61	88	218	243	66
gene236	NC_017295.1	238696	239736	+	1041	111	174	131	143	128	321	199	138	202	205	126	122
gene237	NC_017295.1	239727	240737	+	1011	3	20	10	56	33	61	22	8	14	18	9	9
gene238	NC_017295.1	240739	241680	+	942	19	13	9	170	61	87	17	11	15	22	6	21
gene239	NC_017295.1	241793	242620	+	828	114	130	104	896	808	1681	507	571	654	1477	810	664
gene240	NC_017295.1	242686	243516	-	831	78	99	78	1247	845	1808	961	1015	1052	1754	893	810
gene241	NC_017295.1	243630	244229	-	600	90	153	124	815	1023	2570	1243	1187	1346	1908	1174	905
gene242	NC_017295.1	244354	245205	+	852	40	95	65	241	214	509	508	429	549	475	271	176
gene243	NC_017295.1	245330	246463	+	1134	138	170	116	293	233	535	282	198	240	341	234	189
gene244	NC_017295.1	246592	247344	+	753	78	59	51	309	179	422	451	307	379	393	221	180
gene245	NC_017295.1	247831	248952	+	1122	33	31	28	166	69	162	33	14	33	71	45	39
